Instituto de Pesquisa,Tamanho da Amostra,Margem de erro (pontos percentuais),Lula PT,Flávio PL,data_inicio_pesquisa,data_fim_pesquisa
Nexus/BTG,2000,2.0,0.46,0.45,2026-09-18,2026-09-20
Quaest,2004,2.0,0.41,0.42,2026-09-17,2026-09-20
Palver,5000,2.8,0.43,0.47,2026-09-15,2026-09-18
Datafolha,2002,2.0,0.46,0.44,2026-09-15,2026-09-16
Gerp,2400,2.0,0.43,0.5,2026-09-14,2026-09-16
PoderData/Aya,3000,1.8,0.44,0.46,2026-09-13,2026-09-16
AtlasIntel,5018,1.0,0.46799999999999997,0.47200000000000003,2026-09-11,2026-09-16
Futura/Apex,2000,2.2,0.43700000000000006,0.48100000000000004,2026-09-11,2026-09-15
DataTrends,2000,2.19,0.44,0.45,2026-09-12,2026-09-14
Nexus/BTG,2003,2.0,0.47,0.46,2026-09-11,2026-09-13
Indexa,2000,2.2,0.43,0.42,2026-09-10,2026-09-13
Quaest,2004,2.0,0.4,0.42,2026-09-10,2026-09-13
CNT/MDA,2002,2.2,0.473,0.4,2026-09-09,2026-09-13
DataFolha,2002,2.0,0.46,0.44,2026-09-08,2026-09-11
Apex/Futura,2000,2.2,0.45,0.45399999999999996,2026-09-04,2026-09-10
PoderData/Aya,3000,1.8,0.45,0.47,2026-09-06,2026-09-09
AtlasIntel,5000,1.0,0.462,0.46399999999999997,2026-09-04,2026-09-09
Gerp,2400,2.0,0.4,0.47,2026-09-03,2026-09-08
Palver,5000,3.0,0.44,0.46,2026-09-04,2026-09-07
Meio/Ideia,1500,2.5,0.46,0.46,2026-09-04,2026-09-07
Nexus/BTG Pactual,2002,2.0,0.45,0.46,2026-09-04,2026-09-07
Quaest,2004,2.0,0.41,0.41,2026-09-03,2026-09-06
Veritá,3804,2.0,0.431,0.485,2026-09-01,2026-09-04
Datafolha,2002,2.0,0.46,0.44,2026-09-01,2026-09-02
PoderData/Aya,3000,1.8,0.45,0.46,2026-08-30,2026-09-02
Quaest,2004,2.0,0.42,0.41,2026-08-30,2026-09-01
